peaks,surface_conditions,date,jday,state,surface_index,Date_new
24052,"madison, adams, jefferson, clay, washington, monroe, franklin, eisenhower, pierce",ice snow ice snow snow snow,2016-01-08,8,NH,0,2016-01-08
24115,"adams, madison",ice snow snow,2016-01-15,15,NH,0,2016-01-15
24139,"madison, adams",ice ice snow snow,2016-01-17,17,NH,0,2016-01-17
24179,"jefferson, adams, madison",ice snow snow snow,2016-01-07,7,NH,0,2016-01-07
24229,adams,snow ice snow snow snow ice snow snow ice,2016-01-23,23,NH,0,2016-01-23
24244,"adams, madison",snow snow snow ice,2016-01-23,23,NH,0,2016-01-23
24266,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",snow snow ice snow,2016-01-24,24,NH,0,2016-01-24
24617,"madison, adams",snow wet ice ice,2016-02-18,49,NH,0,2016-02-18
24627,"adams, madison",ice ice snow,2016-02-19,50,NH,0,2016-02-19
24637,"madison, adams, jefferson, clay, washington, monroe, eisenhower, pierce",ice ice snow snow ice snow,2016-02-19,50,NH,0,2016-02-19
24638,"jefferson, adams, madison",snow ice snow snow ice,2016-02-19,50,NH,0,2016-02-19
24641,"madison, adams, jefferson",ice ice ice snow ice,2016-02-19,50,NH,0,2016-02-19
24710,adams,wet ice snow snow ice,2016-02-21,52,NH,0,2016-02-21
24802,"jefferson, adams",snow ice snow snow ice,2016-02-27,58,NH,0,2016-02-27
24869,adams,ice snow snow ice snow,2016-03-03,63,NH,0,2016-03-03
24943,"madison, adams",snow ice snow,2016-03-06,66,NH,0,2016-03-06
24977,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",snow snow snow ice,2016-03-05,65,NH,0,2016-03-05
25040,"adams, madison",dry ice ice wet snow ice,2016-03-12,72,NH,0,2016-03-12
25106,"jefferson, adams, madison",wet snow ice slush,2016-03-16,76,NH,0,2016-03-16
25169,adams,dry ice snow,2016-03-19,79,NH,0,2016-03-19
25512,"adams, madison",dry ice ice,2016-04-14,105,NH,0,2016-04-14
25529,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",wet ice ice snow ice snow slush,2016-04-14,105,NH,0,2016-04-14
25607,"madison, adams",ice wet ice,2016-04-17,108,NH,0,2016-04-17
25614,adams,dry ice wet slush snow ice,2016-04-17,108,NH,0,2016-04-17
25631,"madison, adams, jefferson, clay, washington, monroe, eisenhower, pierce",dry wet ice snow ice slush,2016-04-17,108,NH,0,2016-04-17
25632,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",ice wet ice wet snow ice snow slush,2016-04-17,108,NH,0,2016-04-17
25638,adams,dry wet ice snow ice snow,2016-04-17,108,NH,0,2016-04-17
25753,"adams, madison",dry ice ice snow ice snow ice snow ice,2016-04-24,115,NH,0,2016-04-24
25871,"madison, adams, jefferson, washington",dry wet ice ice snow ice slush snow ice,2016-04-30,121,NH,0,2016-04-30
25906,adams,dry ice ice snow,2016-05-01,122,NH,0,2016-05-01
26092,"madison, adams, jefferson, washington, monroe",dry wet slush snow ice,2016-05-12,133,NH,0,2016-05-12
26099,"madison, adams",dry wet ice snow ice,2016-05-13,134,NH,0,2016-05-13
26161,"madison, adams, clay, washington, monroe",dry ice wet wet snow ice,2016-05-14,135,NH,0,2016-05-14
26201,"madison, adams",dry wet ice wet snow ice,2016-05-18,139,NH,0,2016-05-18
26269,"madison, adams",dry wet ice snow ice,2016-05-21,142,NH,0,2016-05-21
26298,adams,dry snow ice,2016-05-22,143,NH,0,2016-05-22
26342,john quincy adams,dry wet wet,2016-05-26,147,NH,1,2016-05-26
26398,"jefferson, adams, madison",dry wet wet,2016-05-28,149,NH,1,2016-05-28
26420,"adams, madison",dry wet wet,2016-05-29,150,NH,1,2016-05-29
26464,adams,dry,2016-06-01,153,NH,1,2016-06-01
26480,adams,dry wet wet,2016-06-02,154,NH,1,2016-06-02
26482,"madison, adams, washington, monroe, franklin, eisenhower, pierce",dry wet,2016-06-04,156,NH,1,2016-06-04
26490,"adams, madison",dry wet wet,2016-06-04,156,NH,1,2016-06-04
26634,adams,wet wet mud,2016-06-11,163,NH,0,2016-06-11
26668,"madison, adams, jefferson, washington, monroe, franklin, eisenhower, pierce, jackson",dry wet,2016-06-16,168,NH,1,2016-06-16
26703,"madison, adams, jefferson, clay, washington, isolation, monroe, franklin, eisenhower, pierce",dry,2016-06-18,170,NH,1,2016-06-18
26727,"madison, adams, jefferson, clay, washington, monroe, franklin, eisenhower, pierce",dry,2016-06-18,170,NH,1,2016-06-18
26900,adams,dry wet wet,2016-07-02,184,NH,1,2016-07-02
27118,"adams, madison",dry wet wet,2016-07-20,202,NH,1,2016-07-20
27124,"adams, madison",dry wet wet,2016-07-21,203,NH,1,2016-07-21
27163,adams,dry wet wet mud,2016-07-24,206,NH,0,2016-07-24
27309,"abigail adams, sam adams, adams , adams, john quincy adams, madison",dry,2016-08-03,216,NH,1,2016-08-03
27499,"washington, clay, jefferson, adams, madison",wet wet mud,2016-08-20,233,NH,0,2016-08-20
27548,"adams, madison",dry,2016-08-24,237,NH,1,2016-08-24
27551,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",dry,2016-08-21,234,NH,1,2016-08-21
27622,"madison, adams, jefferson, washington, monroe, franklin",dry wet,2016-08-19,232,NH,1,2016-08-19
27654,"adams, madison",dry,2016-09-04,248,NH,1,2016-09-04
27697,"jefferson, adams",dry,2016-09-03,247,NH,1,2016-09-03
27755,adams,dry wet mud,2016-09-12,256,NH,0,2016-09-12
27800,"adams, madison",dry,2016-09-16,260,NH,1,2016-09-16
27811,"madison, adams, jefferson",dry wet,2016-09-17,261,NH,1,2016-09-17
27812,adams,dry wet,2016-09-16,260,NH,1,2016-09-16
27968,"jefferson, adams",dry wet,2016-10-06,280,NH,1,2016-10-06
28213,"madison, adams, jefferson, washington, monroe, eisenhower, pierce, jackson",dry ice snow wet snow wet ice snow snow ice snow snow snow snow ice slush snow ice,2016-11-01,306,NH,0,2016-11-01
28296,"madison, adams, jefferson, washington",dry ice snow snow snow,2016-11-07,312,NH,0,2016-11-07
28313,adams,dry ice wet ice wet snow ice,2016-11-10,315,NH,0,2016-11-10
28461,"adams, madison",dry wet snow ice snow ice,2016-11-19,324,NH,0,2016-11-19
28465,"adams, madison",dry ice snow wet wet snow ice,2016-11-19,324,NH,0,2016-11-19
28497,adams,wet,2016-11-19,324,NH,1,2016-11-19
28556,adams,snow wet wet,2016-11-26,331,NH,0,2016-11-26
28677,"adams, madison",ice snow,2016-12-06,341,NH,0,2016-12-06
28844,"monroe, washington, jefferson, adams, madison",snow snow ice snow ice,2016-12-20,355,NH,0,2016-12-20
28975,adams,snow snow ice,2016-12-27,362,NH,0,2016-12-27
29063,"jefferson, adams, madison",ice snow ice snow snow ice snow snow ice,2017-01-02,2,NH,0,2017-01-02
29085,"madison, adams",ice snow snow snow ice snow snow ice,2017-01-02,2,NH,0,2017-01-02
29090,abigail adams,snow,2017-01-02,2,NH,0,2017-01-02
29142,"madison, adams, jefferson, washington",snow snow ice snow snow ice,2017-01-07,7,NH,0,2017-01-07
29298,"madison, adams",ice ice snow snow ice,2017-01-14,14,NH,0,2017-01-14
29316,"madison, adams",ice snow ice,2017-01-16,16,NH,0,2017-01-16
29373,"jefferson, adams, madison",snow ice snow snow ice,2017-01-21,21,NH,0,2017-01-21
29608,adams,snow ice snow snow snow ice,2017-02-09,40,NH,0,2017-02-09
29619,"madison, adams",snow ice snow,2017-02-11,42,NH,0,2017-02-11
29702,"adams, madison",snow snow ice snow snow ice,2017-02-18,49,NH,0,2017-02-18
29718,"abigail adams, adams",snow ice,2017-02-19,50,NH,0,2017-02-19
29737,"adams , madison",snow ice snow snow ice snow ice,2017-02-18,49,NH,0,2017-02-18
29753,"madison, adams",snow snow ice,2017-02-20,51,NH,0,2017-02-20
29776,adams,ice snow ice,2017-02-21,52,NH,0,2017-02-21
29790,"madison, adams, jefferson, washington, monroe",snow ice snow ice snow snow snow ice,2017-02-22,53,NH,0,2017-02-22
29793,adams,ice snow ice snow ice,2017-02-22,53,NH,0,2017-02-22
29955,"adams, madison",snow ice,2017-03-06,65,NH,0,2017-03-06
29974,adams,ice wet ice snow ice snow ice snow ice snow snow snow ice slush,2017-03-08,67,NH,0,2017-03-08
30044,"madison, adams, jefferson, washington, monroe",ice ice ice snow ice snow snow ice snow ice,2017-03-13,72,NH,0,2017-03-13
30084,adams,snow,2017-03-18,77,NH,0,2017-03-18
30110,"adams, madison",ice snow snow snow ice snow,2017-03-18,77,NH,0,2017-03-18
30207,"madison, adams, jefferson, washington, monroe, eisenhower",snow snow ice snow snow ice,2017-03-25,84,NH,0,2017-03-25
30208,"madison, adams",snow,2017-03-26,85,NH,0,2017-03-26
30259,"jefferson , adams",snow ice,2017-03-30,89,NH,0,2017-03-30
30431,"northfield south peak, adams, rice",dry snow wet snow ice snow,2017-04-14,104,VT,0,2017-04-14
30472,"madison, adams, jefferson, washington, monroe",dry snow snow,2017-04-15,105,NH,0,2017-04-15
30622,"adams, madison",dry wet ice snow wet snow ice snow ice,2017-04-24,114,NH,0,2017-04-24
30875,"adams, madison",dry wet wet slush snow ice,2017-05-12,132,NH,0,2017-05-12
30977,adams,dry wet wet,2017-05-19,139,NH,1,2017-05-19
31001,adams,wet wet,2017-05-20,140,NH,1,2017-05-20
31008,"adams, madison",dry wet wet snow snow ice snow ice,2017-05-20,140,NH,0,2017-05-20
31143,"jefferson, adams, madison",dry wet wet snow ice,2017-05-27,147,NH,0,2017-05-27
31148,"adams, madison",dry wet wet mud snow ice,2017-05-27,147,MA,0,2017-05-27
31327,adams,dry wet wet,2017-06-04,155,NH,1,2017-06-04
31439,"jefferson, adams, madison",dry wet wet,2017-06-11,162,NH,1,2017-06-11
31541,"madison, quincy adams, adams, abigail adams",dry wet wet,2017-06-21,172,NH,1,2017-06-21
31556,adams,dry wet,2017-06-22,173,NH,1,2017-06-22
31560,"adams, madison",dry wet wet,2017-06-22,173,NH,1,2017-06-22
31735,"abigail adams , adams",dry wet,2017-07-03,184,NH,1,2017-07-03
31800,adams,dry wet wet,2017-07-10,191,NH,1,2017-07-10
31810,"madison, adams",dry wet wet,2017-07-12,193,NH,1,2017-07-12
31842,"adams, madison",dry,2017-07-16,197,NH,1,2017-07-16
31916,"adams, madison",dry,2017-07-22,203,NH,1,2017-07-22
31946,"madison, adams, jefferson, clay, washington, monroe, eisenhower, pierce",dry wet wet,2017-07-22,203,NH,1,2017-07-22
32031,"adams, madison",dry wet,2017-08-01,213,NH,1,2017-08-01
32110,"jefferson, adams, madison",dry wet wet,2017-08-10,222,NH,1,2017-08-10
32165,"madison, adams, jefferson, washington",dry wet wet,2017-08-14,226,NH,1,2017-08-14
32302,adams,dry,2017-08-26,238,NH,1,2017-08-26
32312,"adams, madison",dry,2017-08-28,240,NH,1,2017-08-28
32493,"madison, adams, sam adams",dry wet,2017-09-16,259,NH,1,2017-09-16
32512,"isolation, pierce, eisenhower, monroe, washington, clay, jefferson, adams, mt madison",wet mud,2017-09-16,259,NH,0,2017-09-16
32535,"madison, adams",dry wet wet,2017-09-21,264,NH,1,2017-09-21
32554,"john quincy adams, madison",dry,2017-09-23,266,NH,1,2017-09-23
32559,"jefferson, adams",dry,2017-09-23,266,NH,1,2017-09-23
32613,adams,dry,2017-09-29,272,NH,1,2017-09-29
32783,"adams, madison",dry,2017-10-19,292,NH,1,2017-10-19
32917,"adams, madison",wet wet mud slush,2017-11-01,305,NH,0,2017-11-01
33067,"madison, adams",dry ice wet wet,2017-11-08,312,NH,0,2017-11-08
33086,"adams, madison",wet wet,2017-11-07,311,NH,1,2017-11-07
33154,adams,ice snow ice snow,2017-11-11,315,NH,0,2017-11-11
33196,"madison, adams, jefferson",snow ice,2017-11-15,319,NH,0,2017-11-15
33278,adams,dry snow snow snow slush,2017-11-23,327,NH,0,2017-11-23
33432,adams,ice snow snow,2017-12-02,336,NH,0,2017-12-02
34223,"madison, adams",snow snow ice snow ice,2018-01-27,27,NH,0,2018-01-27
34269,"madison, adams, jefferson",dry snow ice snow ice snow ice,2018-01-27,27,NH,0,2018-01-27
34271,"madison, adams",ice ice snow,2018-01-27,27,NH,0,2018-01-27
34275,adams,snow ice,2018-01-14,14,NH,0,2018-01-14
34374,adams,snow snow ice snow ice,2018-02-03,34,NH,0,2018-02-03
34478,"madison, adams",snow snow ice snow snow ice snow snow ice snow snow ice slush snow ice,2018-02-11,42,NH,0,2018-02-11
34548,"madison, adams",ice snow,2018-02-17,48,NH,0,2018-02-17
34591,adams,ice snow ice snow ice,2018-02-17,48,NH,0,2018-02-17
34594,"jefferson, adams, madison",ice snow snow ice snow ice,2018-02-17,48,NH,0,2018-02-17
34815,"adams, madison",ice ice ice snow ice snow ice snow,2018-02-28,59,NH,0,2018-02-28
34867,"madison, adams, jefferson, washington, monroe, eisenhower, pierce, jackson",ice wet ice snow snow ice snow snow ice snow snow ice slush,2018-03-03,62,NH,0,2018-03-03
34911,adams,ice snow snow snow ice slush,2018-03-04,63,NH,0,2018-03-04
34942,"adams, madison",snow snow snow,2018-03-06,65,NH,0,2018-03-06
35037,adams,snow snow snow snow ice,2018-03-12,71,NH,0,2018-03-12
35166,"adams, madison",snow,2018-03-21,80,NH,0,2018-03-21
35172,"madison, adams, jefferson, clay, washington, monroe, franklin, eisenhower, pierce",snow snow snow,2018-03-21,80,NH,0,2018-03-21
35449,"madison, adams",ice snow snow snow ice,2018-04-08,98,NH,0,2018-04-08
35662,adams,snow snow ice snow snow snow,2018-04-23,113,NH,0,2018-04-23
35663,adams,snow snow ice snow snow ice snow,2018-04-21,111,NH,0,2018-04-21
35666,"madison, adams",snow snow snow snow snow,2018-04-22,112,NH,0,2018-04-22
35838,adams,wet ice wet snow ice snow ice snow ice snow ice,2018-05-02,122,NH,0,2018-05-02
35986,"madison, adams",dry wet wet ice snow ice snow ice,2018-05-09,129,NH,0,2018-05-09
36014,"madison, adams",dry snow ice snow ice snow ice slush snow ice,2018-05-12,132,NH,0,2018-05-12
36110,"jefferson, adams, madison",dry wet wet ice snow ice snow ice snow snow ice,2018-05-16,136,NH,0,2018-05-16
36125,"abigail adams, adams",dry wet snow ice,2018-05-18,138,NH,0,2018-05-18
36156,adams,wet mud snow ice snow,2018-05-19,139,NH,0,2018-05-19
36168,adams,dry wet wet snow ice mud snow ice snow ice,2018-05-19,139,NH,0,2018-05-19
36170,"madison, adams, jefferson, clay, washington, monroe, franklin, eisenhower, pierce",dry wet wet,2018-05-18,138,NH,1,2018-05-18
36310,"adams, madison",dry wet snow ice,2018-05-27,147,NH,0,2018-05-27
36466,adams,dry wet wet snow ice,2018-06-03,154,NH,0,2018-06-03
36482,"adams, madison",dry,2018-06-03,154,NH,1,2018-06-03
36483,adams,dry wet,2018-06-03,154,NH,1,2018-06-03
36485,"adams, jefferson",dry wet wet,2018-06-03,154,NH,1,2018-06-03
36502,"madison, adams",dry,2018-06-03,154,NH,1,2018-06-03
36550,"adams, madison",dry wet,2018-06-09,160,NH,1,2018-06-09
36597,adams,dry wet,2018-06-10,161,NH,1,2018-06-10
36605,"jefferson, adams",dry wet,2018-06-10,161,NH,1,2018-06-10
36693,"jefferson, adams, madison",dry wet snow,2018-06-16,167,NH,0,2018-06-16
36727,"adams, madison",wet,2018-06-15,166,NH,1,2018-06-15
36744,"madison, adams, john quincy adams, adams , jefferson",dry wet snow,2018-06-17,168,NH,0,2018-06-17
36778,"adams, madison",dry,2018-06-22,173,NH,1,2018-06-22
36799,"madison, adams, jefferson, clay, washington, monroe, franklin, eisenhower, pierce",dry wet,2018-06-22,173,NH,1,2018-06-22
36852,"adams, jefferson",dry,2018-06-27,178,NH,1,2018-06-27
36954,"madison, adams",dry,2018-07-08,189,NH,1,2018-07-08
36958,"madison, adams, jefferson, clay, washington, monroe, franklin, eisenhower, pierce, jackson",dry wet,2018-07-07,188,NH,1,2018-07-07
36992,"adams, madison",dry,2018-07-11,192,NH,1,2018-07-11
36997,"adams, madison",dry,2018-07-12,193,NH,1,2018-07-12
37081,"adams, madison",dry wet wet,2018-07-19,200,NH,1,2018-07-19
37131,"madison, adams",dry wet,2018-07-21,202,NH,1,2018-07-21
37247,adamsm abigail adams,wet wet mud,2018-08-05,217,NH,0,2018-08-05
37249,"adams, madison",dry wet wet mud,2018-08-05,217,NH,0,2018-08-05
37305,adams,dry wet wet,2018-08-12,224,NH,1,2018-08-12
37375,"jefferson, adams, abagail adams",dry,2018-08-19,231,NH,1,2018-08-19
37427,"jefferson, adams, madison",dry,2018-08-24,236,NH,1,2018-08-24
37433,adams,dry wet,2018-08-25,237,NH,1,2018-08-25
37444,adams,dry wet wet,2018-08-25,237,NH,1,2018-08-25
37614,"abigail adams, sam adams, adams, madison",dry wet,2018-09-08,251,NH,1,2018-09-08
37622,"jefferson, adams",dry,2018-09-08,251,NH,1,2018-09-08
37671,"jefferson, adams",dry,2018-09-14,257,NH,1,2018-09-14
37672,"jefferson, adams",dry,2018-09-15,258,NH,1,2018-09-15
37673,"adams, madison",dry wet,2018-09-15,258,NH,1,2018-09-15
37703,adams,dry wet,2018-09-04,247,NH,1,2018-09-04
37771,"jefferson, adams",dry,2018-09-23,266,NH,1,2018-09-23
37890,adams,dry wet wet,2018-10-05,278,NH,1,2018-10-05
38008,"jefferson, adams, madison",dry ice snow wet wet snow ice,2018-10-20,293,NH,0,2018-10-20
38466,"madison, adams",snow ice snow ice,2018-11-24,328,NH,0,2018-11-24
38468,adams,snow snow snow snow ice,2018-11-24,328,NH,0,2018-11-24
38470,"madison, adams",snow,2018-11-24,328,NH,0,2018-11-24
38472,"madison, adams",snow snow snow snow ice snow ice,2018-11-24,328,NH,0,2018-11-24
38498,"madison, adams",snow,2018-11-24,328,NH,0,2018-11-24
38563,"adams, madison",snow snow,2018-12-01,335,NH,0,2018-12-01
38607,"madison, adams",snow snow,2018-12-01,335,NH,0,2018-12-01
38899,"adams, madison",ice snow snow snow ice snow snow ice snow ice,2018-12-20,354,NH,0,2018-12-20
38931,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",ice snow ice snow ice,2018-12-23,357,NH,0,2018-12-23
38943,"madison, adams",snow ice snow ice,2018-12-23,357,NH,0,2018-12-23
38957,adams,snow ice snow ice,2018-12-23,357,NH,0,2018-12-23
39112,"madison, adams",snow snow ice snow ice snow ice,2018-12-30,364,NH,0,2018-12-30
39114,"adams, madison",snow snow snow ice,2018-12-30,364,NH,0,2018-12-30
39147,"madison, adams",ice snow ice snow ice snow ice snow ice,2018-12-30,364,NH,0,2018-12-30
39148,"adams, madison",ice snow ice,2018-12-31,365,NH,0,2018-12-31
39233,adams,snow ice snow ice,2019-01-05,5,NH,0,2019-01-05
39255,"madison, adams, jefferson, washington, monroe, franklin, eisenhower, pierce",wet ice snow snow snow snow ice snow snow ice,2019-01-05,5,NH,0,2019-01-05
39625,"madison, adams",ice snow snow snow ice snow,2019-01-28,28,NH,0,2019-01-28
39726,adams,snow snow ice,2019-02-03,34,NH,0,2019-02-03
39731,john quincy adams,snow snow snow,2019-02-03,34,NH,0,2019-02-03
39977,adams,ice ice snow snow snow ice,2019-02-17,48,NH,0,2019-02-17
40008,"madison, adams, jefferson, washington, monroe, eisenhower, pierce, jackson",ice ice snow snow snow,2019-02-17,48,NH,0,2019-02-17
40101,"adams, madison",ice snow ice snow ice snow ice,2019-02-23,54,NH,0,2019-02-23
40128,"madison, adams",snow ice snow snow ice snow ice,2019-02-23,54,NH,0,2019-02-23
40185,"adams, madison",ice snow snow snow,2019-03-01,60,NH,0,2019-03-01
40186,adams,snow snow snow,2019-03-01,60,NH,0,2019-03-01
40357,adams,ice ice snow ice snow ice snow ice,2019-03-09,68,NH,0,2019-03-09
40431,adams,snow snow snow,2019-03-13,72,NH,0,2019-03-13
40554,"madison, adams",ice snow snow ice snow ice,2019-03-19,78,NH,0,2019-03-19
40556,"madison, adams",snow snow ice snow ice,2019-03-19,78,NH,0,2019-03-19
40574,adams,ice snow snow ice slush,2019-03-20,79,NH,0,2019-03-20
40864,"adams, madison",snow snow ice,2019-04-07,97,NH,0,2019-04-07
40893,"madison, adams",snow snow ice snow snow ice,2019-04-11,101,NH,0,2019-04-11
41007,adams,wet snow ice snow snow ice,2019-04-15,105,NH,0,2019-04-15
41030,"madison, adams",snow ice snow,2019-04-17,107,NH,0,2019-04-17
41146,adams,wet wet slush,2019-04-23,113,NH,1,2019-04-23
41247,adams,dry snow wet snow snow ice snow ice,2019-04-29,119,NH,0,2019-04-29
41350,"adams, madison",snow ice snow ice snow ice,2019-05-05,125,NH,0,2019-05-05
41459,"adams, madison",dry ice wet snow ice mud snow ice snow snow ice,2019-05-11,131,NH,0,2019-05-11
41469,"adams, madison",dry wet wet snow snow ice,2019-05-12,132,NH,0,2019-05-12
41611,"madison, adams, jefferson, washington, monroe, eisenhower, pierce",dry wet snow ice mud snow ice snow snow ice,2019-05-18,138,NH,0,2019-05-18
41728,"adams, madison",dry wet wet mud snow ice,2019-05-25,145,NH,0,2019-05-25
41751,"madison, adams, jefferson",dry wet wet snow ice snow snow ice,2019-05-25,145,NH,0,2019-05-25
41757,"adams, madison",dry snow wet wet snow ice mud snow ice snow snow ice slush snow ice,2019-05-25,145,NH,0,2019-05-25
41790,"adams, madison",dry wet wet snow ice,2019-05-26,146,NH,0,2019-05-26
41803,"adams, madison",dry wet mud snow ice,2019-05-27,147,NH,0,2019-05-27
41896,adams,dry wet wet mud snow ice,2019-05-30,150,NH,0,2019-05-30
41958,"madison, adams, jefferson, clay, washington, monroe, franklin, eisenhower, pierce",dry wet wet snow,2019-06-01,152,NH,0,2019-06-01
41990,"adams, madison",dry wet mud snow ice,2019-06-02,153,NH,0,2019-06-02
42032,"adams, madison",dry wet,2019-06-04,155,NH,1,2019-06-04
42088,"madison, adams, jefferson",dry wet snow,2019-06-08,159,NH,0,2019-06-08
